,SBIN,TATAMOTORS,BPCL,ADANIPORTS,HDFCBANK
2023-02-01,541.18209,429.084,338.56225,951.62874,1441.29716
2023-02-02,541.31949,429.03706,338.46616,951.93725,1441.48909
2023-02-03,541.4569,428.99013,338.37008,952.24586,1441.68108
2023-02-04,541.59433,428.9432,338.27401,952.55454,1441.87315
2023-02-05,541.73178,428.89628,338.17794,952.86331,1442.06527
2023-02-06,541.86924,428.84936,338.08189,953.17217,1442.25746
2023-02-07,542.00671,428.80243,337.98584,953.48111,1442.44972
2023-02-08,542.1442,428.75552,337.8898,953.79014,1442.64203
2023-02-09,542.28171,428.7086,337.79378,954.09925,1442.83442
2023-02-10,542.41923,428.66169,337.69776,954.40844,1443.02687
2023-02-11,542.55676,428.61477,337.60175,954.71772,1443.21938
2023-02-12,542.69431,428.56787,337.50575,955.02709,1443.41196
2023-02-13,542.83188,428.52096,337.40976,955.33654,1443.6046
2023-02-14,542.96946,428.47406,337.31378,955.64607,1443.7973
2023-02-15,543.10705,428.42716,337.21781,955.95569,1443.99007
2023-02-16,543.24466,428.38026,337.12184,956.26539,1444.18291
2023-02-17,543.38229,428.33336,337.02589,956.57517,1444.37581
2023-02-18,543.51993,428.28647,336.92995,956.88504,1444.56877
2023-02-19,543.65758,428.23958,336.83401,957.19499,1444.7618
2023-02-20,543.79525,428.19269,336.73809,957.50503,1444.95489
2023-02-21,543.93294,428.1458,336.64217,957.81515,1445.14805
2023-02-22,544.07064,428.09892,336.54626,958.12535,1445.34127
2023-02-23,544.20835,428.05204,336.45037,958.43564,1445.53455
2023-02-24,544.34608,428.00516,336.35448,958.746,1445.7279
2023-02-25,544.48383,427.95828,336.2586,959.05646,1445.92132
2023-02-26,544.62159,427.91141,336.16273,959.36699,1446.11479
2023-02-27,544.75936,427.86454,336.06687,959.67761,1446.30833
2023-02-28,544.89715,427.81767,335.97101,959.98831,1446.50194
2023-03-01,545.03496,427.7708,335.87517,960.2991,1446.69561
2023-03-02,545.17278,427.72394,335.77934,960.60996,1446.88934
2023-03-03,545.31061,427.67708,335.68351,960.92091,1447.08314
2023-03-04,545.44846,427.63022,335.5877,961.23194,1447.277
2023-03-05,545.58632,427.58337,335.49189,961.54306,1447.47093
2023-03-06,545.7242,427.53651,335.3961,961.85425,1447.66492
2023-03-07,545.8621,427.48966,335.30031,962.16553,1447.85897
2023-03-08,546.00001,427.44281,335.20453,962.47689,1448.05309
2023-03-09,546.13793,427.39597,335.10876,962.78833,1448.24727
2023-03-10,546.27587,427.34913,335.013,963.09985,1448.44152
2023-03-11,546.41383,427.30228,334.91725,963.41146,1448.63583
2023-03-12,546.55179,427.25545,334.82151,963.72315,1448.8302
2023-03-13,546.68978,427.20861,334.72578,964.03491,1449.02464
2023-03-14,546.82778,427.16178,334.63006,964.34676,1449.21914
2023-03-15,546.96579,427.11495,334.53434,964.6587,1449.4137
2023-03-16,547.10382,427.06812,334.43864,964.97071,1449.60833
2023-03-17,547.24186,427.02129,334.34294,965.2828,1449.80302
2023-03-18,547.37992,426.97447,334.24726,965.59498,1449.99778
2023-03-19,547.51799,426.92765,334.15158,965.90723,1450.1926
2023-03-20,547.65608,426.88083,334.05591,966.21957,1450.38748
2023-03-21,547.79418,426.83402,333.96026,966.53198,1450.58243
2023-03-22,547.9323,426.7872,333.86461,966.84448,1450.77744
2023-03-23,548.07043,426.74039,333.76897,967.15706,1450.97251
2023-03-24,548.20858,426.69358,333.67334,967.46972,1451.16765
2023-03-25,548.34674,426.64678,333.57771,967.78246,1451.36285
2023-03-26,548.48492,426.59998,333.4821,968.09528,1451.55811
2023-03-27,548.62311,426.55318,333.3865,968.40818,1451.75344
2023-03-28,548.76132,426.50638,333.29091,968.72116,1451.94883
2023-03-29,548.89954,426.45958,333.19532,969.03422,1452.14429
2023-03-30,549.03777,426.41279,333.09974,969.34736,1452.33981
2023-03-31,549.17602,426.366,333.00418,969.66058,1452.53539
2023-04-01,549.31429,426.31921,332.90862,969.97388,1452.73103
2023-04-02,549.45257,426.27243,332.81307,970.28725,1452.92674
2023-04-03,549.59087,426.22564,332.71753,970.60071,1453.12251
2023-04-04,549.72918,426.17886,332.622,970.91425,1453.31835
2023-04-05,549.8675,426.13208,332.52648,971.22787,1453.51425
2023-04-06,550.00584,426.08531,332.43097,971.54156,1453.71021
2023-04-07,550.14419,426.03854,332.33547,971.85534,1453.90624
2023-04-08,550.28256,425.99177,332.23998,972.16919,1454.10232
2023-04-09,550.42095,425.945,332.14449,972.48313,1454.29848
2023-04-10,550.55934,425.89823,332.04902,972.79714,1454.49469
2023-04-11,550.69776,425.85147,331.95355,973.11123,1454.69097
2023-04-12,550.83618,425.80471,331.8581,973.4254,1454.88731
2023-04-13,550.97463,425.75795,331.76265,973.73965,1455.08372
2023-04-14,551.11308,425.7112,331.66721,974.05397,1455.28018
2023-04-15,551.25156,425.66444,331.57178,974.36838,1455.47671
2023-04-16,551.39004,425.61769,331.47636,974.68286,1455.67331
2023-04-17,551.52854,425.57095,331.38095,974.99742,1455.86996
2023-04-18,551.66706,425.5242,331.28555,975.31206,1456.06668
2023-04-19,551.80559,425.47746,331.19016,975.62678,1456.26347
2023-04-20,551.94414,425.43072,331.09478,975.94158,1456.46031
2023-04-21,552.0827,425.38398,330.9994,976.25645,1456.65722
2023-04-22,552.22127,425.33724,330.90404,976.5714,1456.85419
2023-04-23,552.35986,425.29051,330.80868,976.88643,1457.05123
2023-04-24,552.49847,425.24378,330.71334,977.20154,1457.24833
2023-04-25,552.63708,425.19705,330.618,977.51672,1457.44549
2023-04-26,552.77572,425.15033,330.52267,977.83198,1457.64271
2023-04-27,552.91437,425.10361,330.42735,978.14732,1457.84
2023-04-28,553.05303,425.05688,330.33204,978.46273,1458.03735
2023-04-29,553.19171,425.01017,330.23674,978.77823,1458.23476
2023-04-30,553.3304,424.96345,330.14145,979.0938,1458.43223
2023-05-01,553.4691,424.91674,330.04617,979.40944,1458.62977
2023-05-02,553.60783,424.87003,329.95089,979.72517,1458.82737
2023-05-03,553.74656,424.82332,329.85563,980.04097,1459.02503
2023-05-04,553.88531,424.77662,329.76037,980.35684,1459.22276
2023-05-05,554.02408,424.72991,329.66513,980.6728,1459.42055
2023-05-06,554.16286,424.68321,329.56989,980.98883,1459.6184
2023-05-07,554.30165,424.63652,329.47466,981.30493,1459.81631
2023-05-08,554.44046,424.58982,329.37945,981.62111,1460.01429
2023-05-09,554.57928,424.54313,329.28424,981.93737,1460.21233
2023-05-10,554.71812,424.49644,329.18904,982.25371,1460.41043
2023-05-11,554.85697,424.44975,329.09384,982.57012,1460.60859
2023-05-12,554.99584,424.40306,328.99866,982.8866,1460.80682
2023-05-13,555.13472,424.35638,328.90349,983.20317,1461.00511
2023-05-14,555.27362,424.3097,328.80833,983.5198,1461.20346
2023-05-15,555.41253,424.26302,328.71317,983.83652,1461.40187
2023-05-16,555.55145,424.21635,328.61803,984.15331,1461.60035
2023-05-17,555.69039,424.16968,328.52289,984.47017,1461.79889
2023-05-18,555.82935,424.12301,328.42776,984.78711,1461.99749
2023-05-19,555.96832,424.07634,328.33264,985.10413,1462.19615
2023-05-20,556.1073,424.02967,328.23754,985.42122,1462.39488
2023-05-21,556.2463,423.98301,328.14244,985.73838,1462.59367
2023-05-22,556.38531,423.93635,328.04734,986.05562,1462.79252
2023-05-23,556.52434,423.88969,327.95226,986.37294,1462.99143
2023-05-24,556.66338,423.84304,327.85719,986.69033,1463.1904
2023-05-25,556.80244,423.79638,327.76213,987.00779,1463.38944
2023-05-26,556.94151,423.74973,327.66707,987.32533,1463.58854
2023-05-27,557.08059,423.70309,327.57203,987.64295,1463.7877
2023-05-28,557.21969,423.65644,327.47699,987.96064,1463.98693
2023-05-29,557.35881,423.6098,327.38196,988.2784,1464.18621
2023-05-30,557.49793,423.56316,327.28695,988.59624,1464.38556
2023-05-31,557.63708,423.51652,327.19194,988.91415,1464.58497
2023-06-01,557.77623,423.46989,327.09694,989.23213,1464.78444
2023-06-02,557.91541,423.42325,327.00195,989.55019,1464.98398
2023-06-03,558.05459,423.37662,326.90697,989.86833,1465.18357
2023-06-04,558.19379,423.32999,326.81199,990.18653,1465.38323
2023-06-05,558.33301,423.28337,326.71703,990.50481,1465.58295
2023-06-06,558.47224,423.23675,326.62208,990.82317,1465.78274
2023-06-07,558.61148,423.19013,326.52713,991.1416,1465.98258
2023-06-08,558.75074,423.14351,326.43219,991.4601,1466.18249
2023-06-09,558.89001,423.09689,326.33727,991.77868,1466.38245
2023-06-10,559.0293,423.05028,326.24235,992.09732,1466.58249
2023-06-11,559.1686,423.00367,326.14744,992.41605,1466.78258
2023-06-12,559.30792,422.95706,326.05254,992.73484,1466.98273
2023-06-13,559.44725,422.91046,325.95765,993.05371,1467.18295
2023-06-14,559.58659,422.86385,325.86277,993.37265,1467.38322
2023-06-15,559.72595,422.81725,325.7679,993.69166,1467.58356
2023-06-16,559.86533,422.77066,325.67303,994.01075,1467.78397
2023-06-17,560.00472,422.72406,325.57818,994.32991,1467.98443
2023-06-18,560.14412,422.67747,325.48333,994.64914,1468.18495
2023-06-19,560.28354,422.63088,325.3885,994.96845,1468.38554
2023-06-20,560.42297,422.58429,325.29367,995.28782,1468.58619
